date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/04/04,ANA,TEX,61,tolf,6,.208,.240,.417,.657,.294,.480,.412,.892,.056,.190,.111,.302,.167,.211,.333,.544,.227,.320,.273,.593,.375,.400,.542,.942,3.00,1.1666666666666667,6.533333333333333,0.041666666666666664,0.125,9.00,2.5,4.7,0.14285714285714285,0.19047619047619047,6
2019/04/05,ANA,TEX,63,rtol,8,.214,.267,.500,.767,.350,.517,.600,1.117,.091,.231,.136,.367,.238,.333,.429,.762,.185,.267,.222,.489,.414,.433,.552,.985,9.82,1.5625,7.2625,0.17647058823529413,0.058823529411764705,11.12,1.923076923076923,3.776923076923077,0.17857142857142858,0.0,0
2019/04/06,ANA,TEX,68,rtol,8,.263,.263,.263,.526,.375,.515,.833,1.348,.167,.200,.167,.367,.143,.357,.286,.643,.240,.321,.400,.721,.424,.441,.545,.987,3.86,1.4285714285714286,6.057142857142857,0.10526315789473684,0.05263157894736842,3.00,2.0,8.2,0.13333333333333333,0.13333333333333333,0
2019/04/07,ANA,TEX,75,torf,6,.167,.231,.208,.439,.385,.553,.923,1.476,.080,.233,.120,.353,.286,.375,.464,.839,.171,.237,.229,.465,.378,.395,.486,.881,8.31,2.1951219512195124,4.175609756097561,0.047619047619047616,0.09523809523809523,4.91,3.4375,7.575,0.09090909090909091,0.22727272727272727,0
2019/04/08,ANA,MIL,77,rtol,7,.200,.243,.429,.672,.393,.581,1.000,1.581,.103,.257,.138,.395,.368,.432,.553,.984,.361,.489,.889,1.378,.281,.281,.625,.906,3.75,0.8333333333333334,4.283333333333333,0.17391304347826086,0.021739130434782608,4.22,1.0784313725490198,4.670588235294118,0.3023255813953488,0.11627906976744186,0
2019/04/09,ANA,MIL,70,ltor,11,.179,.220,.385,.604,.367,.574,.933,1.508,.125,.282,.250,.532,.333,.396,.500,.896,.375,.490,.850,1.340,.250,.250,.556,.806,9.00,1.9,8.0,0.125,0.10416666666666667,3.27,1.0,2.9272727272727277,0.3111111111111111,0.06666666666666667,6
2019/04/10,ANA,MIL,70,torf,9,.167,.239,.357,.596,.233,.250,.349,.599,.143,.318,.257,.575,.348,.415,.522,.937,.356,.464,.778,1.242,.225,.225,.500,.725,5.40,1.4864864864864864,5.632432432432433,0.2777777777777778,0.08333333333333333,6.00,1.6666666666666667,3.088888888888889,0.3023255813953488,0.06976744186046512,0
2019/04/18,ANA,SEA,77,tocf,7,.169,.239,.338,.578,.366,.571,.780,1.352,.229,.239,.314,.554,.221,.308,.338,.646,.271,.312,.576,.888,.337,.406,.535,.941,5.54,2.113821138211382,5.557723577235772,0.11475409836065574,0.16393442622950818,4.38,1.4049586776859504,4.6876033057851245,0.17543859649122806,0.017543859649122806,0
2019/04/19,ANA,SEA,64,rtol,8,.268,.317,.393,.710,.348,.544,.717,1.262,.253,.263,.360,.623,.216,.298,.324,.622,.267,.313,.556,.869,.279,.405,.515,.919,3.65,1.4035087719298245,5.480701754385965,0.2222222222222222,0.09259259259259259,3.19,1.2541254125412542,3.4970297029702975,0.14615384615384616,0.05384615384615385,0
2019/04/20,ANA,SEA,63,torf,9,.305,.359,.424,.783,.340,.528,.740,1.268,.253,.263,.367,.630,.258,.317,.538,.855,.315,.382,.500,.882,.260,.382,.479,.861,4.50,1.0454545454545454,5.336363636363636,0.2,0.044444444444444446,4.23,1.1397058823529411,4.780882352941177,0.17857142857142858,0.05357142857142857,2
