date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/04/09,BOS,TOR,41,torf,10,.293,.348,.390,.738,.262,.333,.476,.810,.258,.361,.645,1.006,.324,.378,.647,1.025,.194,.310,.278,.587,.179,.200,.256,.456,8.00,1.4444444444444444,9.866666666666667,0.11904761904761904,0.09523809523809523,0.00,0.5,1.9142857142857144,0.3125,0.0625,1
2019/04/11,BOS,TOR,46,tocf,8,.261,.314,.348,.662,.255,.321,.511,.831,.257,.350,.686,1.036,.219,.342,.281,.623,.333,.381,.641,1.022,.200,.294,.333,.627,8.10,1.8,9.3,0.12244897959183673,0.12244897959183673,1.64,1.1818181818181819,2.8363636363636364,0.2391304347826087,0.10869565217391304,0
2019/04/12,BOS,BAL,52,tolf,9,.260,.321,.340,.661,.240,.328,.480,.808,.275,.356,.750,1.106,.304,.316,.536,.852,.212,.316,.394,.710,.333,.375,.725,1.100,12.38,3.0136986301369864,7.309589041095891,0.15217391304347827,0.13043478260869565,2.70,0.8396946564885497,5.490076335877863,0.24489795918367346,0.10204081632653061,0
2019/04/13,BOS,BAL,64,tolf,15,.278,.333,.407,.741,.226,.323,.453,.775,.295,.367,.750,1.117,.288,.311,.508,.820,.333,.383,.722,1.106,.278,.304,.444,.748,13.50,3.59375,10.075,0.17777777777777778,0.15555555555555556,5.28,1.7880794701986755,6.445033112582782,0.10144927536231885,0.11594202898550725,2
2019/04/14,BOS,BAL,63,ltor,6,.286,.359,.429,.788,.232,.333,.446,.780,.100,.100,.100,.200,.302,.343,.508,.851,.189,.286,.351,.637,.339,.394,.712,1.106,6.00,1.25,5.033333333333333,0.2653061224489796,0.061224489795918366,2.08,1.4634146341463417,5.3951219512195125,0.2564102564102564,0.07692307692307693,0
2019/04/15,BOS,BAL,56,tolf,9,.133,.188,.133,.321,.233,.329,.433,.762,.277,.346,.702,1.048,.299,.338,.493,.831,.339,.400,.710,1.110,.259,.317,.414,.731,2.79,1.0869565217391306,2.982608695652174,0.23684210526315788,0.0,19.29,3.571428571428571,17.00952380952381,0.0,0.07142857142857142,0
2019/04/23,BOS,DET,54,ltor,9,.282,.346,.451,.796,.244,.344,.439,.783,.350,.441,.563,1.003,.225,.304,.310,.614,.261,.316,.406,.722,.267,.349,.307,.656,8.50,1.5555555555555556,6.4222222222222225,0.16666666666666666,0.05952380952380952,2.96,1.120331950207469,1.7477178423236517,0.36,0.07,0
2019/04/23,BOS,DET,47,tolf,10,.270,.341,.432,.774,.244,.340,.430,.770,.254,.315,.642,.957,.213,.298,.293,.591,.257,.309,.392,.701,.278,.363,.329,.692,2.84,1.3114754098360657,3.855737704918033,0.19607843137254902,0.0784313725490196,3.43,1.2857142857142858,3.2952380952380955,0.26666666666666666,0.07777777777777778,0
2019/04/24,BOS,DET,58,ltor,12,.295,.367,.449,.815,.239,.352,.420,.773,.250,.308,.611,.919,.238,.315,.313,.627,.244,.294,.372,.666,.280,.368,.329,.698,7.20,1.7741935483870965,5.027956989247312,0.22340425531914893,0.07446808510638298,3.38,1.25,5.075,0.17,0.09,0
2019/04/25,BOS,DET,52,fromrf,13,.293,.368,.451,.820,.250,.364,.435,.798,.240,.313,.587,.900,.238,.319,.321,.641,.247,.311,.370,.681,.279,.364,.326,.689,8.47,2.6282051282051277,7.302564102564102,0.16483516483516483,0.14285714285714285,4.94,1.25,5.131818181818182,0.16964285714285715,0.07142857142857142,0
2019/04/27,BOS,TBA,53,torf,18,.306,.384,.482,.866,.260,.368,.458,.827,.231,.310,.564,.874,.277,.376,.542,.918,.304,.420,.457,.876,.174,.250,.217,.467,3.75,1.0416666666666667,2.95,0.3191489361702128,0.05319148936170213,3.38,1.183206106870229,3.314503816793893,0.3090909090909091,0.10909090909090909,1
2019/04/28,BOS,TBA,52,ltor,9,.292,.375,.461,.836,.267,.370,.485,.855,.217,.293,.530,.824,.279,.381,.570,.951,.305,.422,.463,.886,.169,.263,.211,.474,7.43,1.5217391304347827,5.678260869565218,0.22641509433962265,0.0660377358490566,1.53,0.9278350515463917,2.718900343642612,0.26126126126126126,0.05405405405405406,2
2019/04/29,BOS,OAK,61,fromcf,6,.280,.361,.441,.802,.269,.374,.490,.864,.340,.423,.526,.949,.316,.392,.491,.884,.284,.385,.578,.964,.265,.339,.434,.772,5.88,1.5447154471544715,4.378861788617886,0.23931623931623933,0.08547008547008547,3.10,1.1660777385159011,4.260070671378092,0.2184873949579832,0.06722689075630252,0
2019/04/30,BOS,OAK,52,ltor,9,.276,.354,.429,.783,.287,.391,.500,.891,.337,.414,.515,.929,.322,.400,.492,.892,.216,.318,.338,.655,.292,.394,.585,.979,7.43,2.268518518518518,6.579629629629629,0.17094017094017094,0.1282051282051282,5.33,1.2222222222222223,5.162962962962963,0.2072072072072072,0.06306306306306306,1
2019/05/01,BOS,OAK,52,ltor,5,.265,.342,.412,.754,.295,.394,.527,.921,.324,.400,.495,.895,.311,.388,.475,.864,.221,.326,.377,.702,.282,.382,.564,.945,3.86,1.5584415584415585,3.8493506493506495,0.22058823529411764,0.11764705882352941,7.03,1.5654952076677315,5.660063897763578,0.1724137931034483,0.06896551724137931,0
2019/05/10,BOS,SEA,66,tocf,18,.280,.366,.447,.813,.290,.405,.507,.912,.309,.384,.475,.858,.237,.320,.500,.820,.276,.345,.481,.826,.244,.384,.535,.919,5.40,1.5804597701149428,3.6310344827586207,0.25153374233128833,0.08588957055214724,4.94,1.25,5.182758620689656,0.16666666666666666,0.049019607843137254,0
2019/05/11,BOS,SEA,67,ltor,16,.292,.373,.474,.848,.291,.410,.504,.914,.308,.380,.469,.849,.231,.313,.488,.801,.500,.500,.500,1.000,.244,.380,.534,.915,5.11,1.6292134831460674,5.306741573033708,0.20833333333333334,0.10119047619047619,5.20,1.3573407202216066,5.111357340720222,0.1962025316455696,0.03164556962025317,4
2019/05/12,BOS,SEA,45,fromrf,6,.284,.368,.461,.829,.290,.410,.497,.907,.308,.387,.466,.853,.227,.312,.479,.790,.375,.375,.375,.750,.237,.371,.519,.890,4.03,1.4485981308411215,4.321495327102804,0.20212765957446807,0.10638297872340426,3.08,1.2815533980582525,3.5106796116504855,0.17647058823529413,0.058823529411764705,4
2019/05/14,BOS,COL,44,fromcf,8,.276,.363,.448,.811,.289,.410,.497,.906,.313,.393,.507,.900,.305,.368,.573,.941,.275,.346,.506,.853,.319,.364,.594,.957,4.50,1.1136363636363635,3.881818181818182,0.3027027027027027,0.05945945945945946,5.84,1.3574660633484161,5.530316742081448,0.18686868686868688,0.09090909090909091,0
2019/05/15,BOS,COL,59,ltor,12,.265,.351,.430,.781,.279,.399,.481,.879,.316,.393,.523,.916,.302,.364,.580,.944,.273,.342,.497,.839,.317,.365,.604,.968,4.53,1.45933014354067,3.3913875598086127,0.24210526315789474,0.07894736842105263,3.43,1.1538461538461537,3.5146853146853148,0.24789915966386555,0.05042016806722689,2
2019/05/17,BOS,HOU,60,tocf,5,.271,.358,.445,.803,.289,.404,.491,.895,.321,.399,.541,.940,.320,.400,.651,1.051,.270,.378,.579,.957,.329,.379,.575,.954,5.15,1.5311004784688995,5.137799043062201,0.20512820512820512,0.09230769230769231,3.88,1.0144927536231882,3.018840579710145,0.3891402714932127,0.06787330316742081,0
2019/05/18,BOS,HOU,62,fromrf,18,.270,.359,.440,.799,.287,.399,.482,.881,.321,.401,.543,.944,.320,.402,.663,1.065,.269,.376,.571,.946,.324,.376,.565,.941,3.95,1.325757575757576,4.601515151515152,0.19642857142857142,0.10714285714285714,3.38,0.7843137254901962,2.807843137254902,0.45,0.05,6
2019/05/19,BOS,HOU,59,tolf,17,.281,.385,.539,.924,.287,.401,.479,.880,.270,.372,.472,.844,.318,.402,.665,1.067,.270,.381,.572,.954,.331,.382,.571,.954,4.24,1.0196078431372548,3.376470588235294,0.3492822966507177,0.05263157894736842,3.51,1.1706349206349207,4.45,0.16587677725118483,0.061611374407582936,1
2019/05/27,BOS,CLE,61,fromrf,9,.260,.353,.406,.759,.286,.400,.477,.877,.330,.393,.508,.900,.279,.342,.473,.815,.296,.387,.519,.906,.285,.405,.492,.896,4.45,1.3503649635036497,4.951824817518249,0.19262295081967212,0.0778688524590164,4.08,1.3953488372093024,4.8860465116279075,0.152317880794702,0.08609271523178808,2
2019/05/28,BOS,CLE,53,fromrf,15,.289,.400,.475,.875,.327,.388,.505,.893,.286,.376,.497,.873,.278,.344,.466,.811,.323,.417,.516,.933,.279,.400,.481,.881,3.24,1.0922330097087378,3.5398058252427185,0.2865853658536585,0.06097560975609756,3.81,-1.0,-1.0,-1.0,-1.0,0
2019/05/29,BOS,CLE,52,fromrf,10,.256,.354,.400,.754,.284,.396,.466,.862,.329,.389,.512,.901,.279,.353,.471,.823,.306,.390,.472,.862,.274,.400,.473,.873,1.29,0.8571428571428571,3.2,0.19298245614035087,0.017543859649122806,3.11,1.072,3.664,0.3062015503875969,0.06589147286821706,3
2019/06/07,BOS,TBA,72,fromrf,9,.271,.387,.462,.849,.267,.361,.418,.779,.316,.378,.511,.888,.349,.424,.645,1.069,.293,.406,.471,.877,.272,.327,.510,.837,4.76,1.4570552147239264,4.825766871165644,0.18604651162790697,0.07641196013289037,3.25,0.9847198641765703,4.405432937181664,0.20851063829787234,0.04680851063829787,0
2019/06/08,BOS,TBA,69,fromrf,14,.268,.385,.456,.841,.245,.333,.459,.792,.301,.381,.534,.915,.345,.418,.632,1.051,.289,.403,.464,.868,.277,.330,.515,.845,4.91,1.4084507042253522,4.185915492957747,0.18181818181818182,0.06060606060606061,6.23,1.2537313432835822,3.976119402985075,0.16083916083916083,0.055944055944055944,0
2019/06/08,BOS,TBA,71,fromrf,13,.263,.380,.449,.829,.266,.360,.419,.779,.297,.377,.527,.904,.211,.314,.298,.612,.256,.344,.467,.811,.348,.423,.629,1.052,2.83,1.0506566604127578,3.3688555347091933,0.28095238095238095,0.05714285714285714,2.88,1.15625,3.10625,0.26277372262773724,0.072992700729927,0
2019/06/09,BOS,TBA,72,tolf,13,.268,.385,.455,.840,.281,.324,.467,.791,.295,.375,.523,.898,.255,.343,.462,.805,.288,.404,.462,.866,.281,.336,.514,.851,4.88,1.421875,3.621875,0.25524475524475526,0.06993006993006994,3.68,1.1300309597523222,3.1226006191950466,0.35,0.07307692307692308,2
2019/06/10,BOS,TEX,70,rtol,13,.267,.382,.450,.832,.266,.358,.416,.774,.296,.371,.528,.899,.241,.363,.321,.684,.288,.327,.475,.801,.301,.339,.456,.795,3.84,0.9987029831387809,3.212970168612192,0.3492063492063492,0.06031746031746032,2.55,1.2313432835820894,3.448756218905473,0.26126126126126126,0.07807807807807808,2
