date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/04/08,CHN,PIT,65,rtol,10,.345,.441,.345,.786,.231,.302,.385,.687,.235,.395,.441,.837,.333,.429,.533,.962,.219,.265,.375,.640,.250,.344,.250,.594,3.00,1.25,6.033333333333333,0.20408163265306123,0.10204081632653061,3.46,0.7692307692307693,4.276923076923077,0.18,0.04,0
2019/04/10,CHN,PIT,40,fromrf,20,.346,.414,.538,.952,.233,.313,.395,.708,.237,.383,.421,.804,.324,.410,.500,.910,.200,.263,.343,.606,.241,.353,.241,.594,8.10,2.903225806451613,8.683870967741935,0.16666666666666666,0.3055555555555556,0.00,1.2,4.2,0.1,0.15,1
2019/04/11,CHN,PIT,50,fromrf,11,.344,.462,.344,.805,.239,.327,.391,.718,.220,.373,.390,.763,.289,.386,.447,.834,.225,.279,.425,.704,.273,.368,.364,.732,10.29,2.7142857142857144,8.2,0.28205128205128205,0.15384615384615385,0.00,0.4444444444444444,1.866666666666667,0.3,0.03333333333333333,0
2019/04/12,CHN,ANA,50,tocf,19,.222,.263,.222,.485,.224,.321,.367,.689,.200,.345,.356,.701,.303,.324,.333,.657,.234,.250,.340,.590,.214,.320,.310,.630,5.73,1.3636363636363635,4.745454545454546,0.1836734693877551,0.061224489795918366,2.45,1.1650485436893203,3.6854368932038835,0.16279069767441862,0.046511627906976744,3
2019/04/13,CHN,ANA,50,torf,15,.333,.389,.485,.874,.333,.442,.333,.775,.204,.339,.408,.747,.163,.226,.327,.553,.216,.231,.314,.544,.154,.313,.256,.569,6.48,2.7160493827160495,7.520987654320988,0.1702127659574468,0.0851063829787234,6.48,2.0987654320987654,6.533333333333333,0.05128205128205128,0.15384615384615385,0
2019/04/19,CHN,ARI,44,fromcf,26,.364,.429,.523,.951,.219,.324,.344,.668,.159,.312,.317,.629,.235,.291,.314,.605,.229,.308,.329,.636,.367,.412,.570,.981,5.40,2.213740458015267,5.795419847328244,0.14705882352941177,0.07352941176470588,3.79,1.0526315789473684,3.936842105263158,0.22666666666666666,0.04,0
2019/04/20,CHN,ARI,52,ltor,18,.271,.379,.271,.650,.235,.342,.368,.709,.169,.341,.354,.695,.270,.372,.459,.832,.222,.317,.319,.637,.361,.404,.554,.959,6.11,1.878787878787879,7.260606060606061,0.21686746987951808,0.18072289156626506,5.79,1.25,5.878571428571429,0.28865979381443296,0.041237113402061855,2
2019/04/21,CHN,ARI,73,tocf,7,.213,.288,.213,.501,.239,.349,.380,.730,.176,.349,.353,.702,.268,.354,.439,.793,.236,.288,.309,.597,.352,.394,.568,.962,6.00,2.075471698113207,6.218867924528302,0.20689655172413793,0.1724137931034483,4.64,1.3744075829383886,4.1004739336492895,0.2826086956521739,0.16304347826086957,0
2019/04/23,CHN,LAN,52,rtol,3,.236,.338,.236,.575,.230,.345,.365,.710,.197,.367,.380,.747,.275,.370,.551,.921,.260,.372,.286,.658,.241,.389,.483,.872,3.43,1.4285714285714286,3.2952380952380955,0.31521739130434784,0.07608695652173914,3.80,1.3333333333333335,5.066666666666667,0.20618556701030927,0.10309278350515463,4
2019/04/24,CHN,LAN,57,ltor,3,.309,.387,.455,.842,.221,.341,.351,.691,.200,.362,.413,.775,.260,.353,.521,.873,.272,.378,.309,.686,.219,.359,.438,.796,2.77,0.8461538461538461,3.2769230769230773,0.22772277227722773,0.0297029702970297,5.40,1.2154696132596685,3.2,0.2236842105263158,0.07894736842105263,0
