date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/03/28,KCA,CHA,55,tocf,11,.302,.348,.463,.811,.263,.291,.424,.715,.266,.345,.396,.741,.279,.310,.378,.688,.315,.367,.548,.915,.284,.330,.503,.834,4.19,-1,-1,-1,-1,5.19,-1,-1,-1,-1,0
2019/03/30,KCA,CHA,38,ltor,18,.333,.500,.333,.833,.500,.500,1.500,2.000,.000,.250,.000,.250,.250,.250,.250,.500,.333,.500,.333,.833,.250,.250,.250,.500,5.24,-1,-1,-1,-1,5.38,-1,-1,-1,-1,0
2019/03/31,KCA,CHA,40,ltor,4,.250,.333,.250,.583,.375,.375,1.000,1.375,.000,.444,.000,.444,.222,.222,.333,.556,.500,.556,.875,1.431,.250,.250,.625,.875,6.33,-1,-1,-1,-1,3.41,-1,-1,-1,-1,0
2019/04/02,KCA,MIN,54,ltor,4,.273,.385,.273,.657,.333,.333,.750,1.083,.125,.385,.125,.510,.091,.167,.091,.258,.273,.385,.455,.839,.364,.462,.727,1.189,0.00,0.42857142857142855,2.2,0.20833333333333334,0.041666666666666664,0.00,0.41666666666666663,0.838888888888889,0.38461538461538464,0.038461538461538464,1
2019/04/03,KCA,MIN,60,rtol,13,.250,.333,.313,.646,.412,.412,.941,1.353,.091,.389,.091,.480,.200,.333,.200,.533,.313,.421,.500,.921,.375,.474,.688,1.161,4.57,-1,-1,-1,-1,4.84,-1,-1,-1,-1,1
2019/04/08,KCA,SEA,77,ltor,6,.324,.361,.529,.891,.265,.265,.588,.853,.250,.429,.500,.929,.265,.327,.490,.817,.311,.415,.622,1.037,.184,.289,.605,.894,5.40,1.4,1.2000000000000002,0.38095238095238093,0.09523809523809523,1.69,1.3725490196078431,2.219607843137255,0.16,0.0,2
2019/04/09,KCA,SEA,74,rtol,7,.342,.375,.526,.901,.263,.263,.579,.842,.286,.436,.500,.936,.250,.359,.406,.765,.340,.431,.640,1.071,.186,.280,.628,.908,4.63,1.4285714285714286,2.9321428571428574,0.28,0.08,3.20,1.1979166666666667,3.8770833333333337,0.13414634146341464,0.036585365853658534,2
2019/04/10,KCA,SEA,82,tolf,13,.349,.378,.558,.936,.265,.297,.265,.562,.286,.279,.595,.874,.216,.318,.351,.670,.255,.311,.455,.766,.188,.273,.646,.919,8.06,-1,-1,-1,-1,4.02,1.118421052631579,3.7263157894736842,0.18461538461538463,0.03076923076923077,2
2019/04/11,KCA,SEA,53,ltor,22,.340,.380,.532,.912,.304,.313,.587,.899,.313,.442,.531,.973,.244,.347,.366,.713,.254,.318,.492,.810,.345,.424,.603,1.028,4.09,1.3636363636363635,5.2,0.1702127659574468,0.0851063829787234,2.92,1.4876033057851241,3.6958677685950416,0.23636363636363636,0.03636363636363636,0
2019/04/12,KCA,CLE,56,ltor,13,.302,.339,.472,.811,.306,.340,.633,.972,.333,.458,.583,1.042,.237,.370,.474,.843,.136,.170,.182,.352,.189,.286,.324,.610,2.84,1.0526315789473684,3.2526315789473688,0.17105263157894737,0.10526315789473684,7.71,1.978021978021978,3.52967032967033,0.34782608695652173,0.043478260869565216,6
