date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/03/28,MIN,CLE,49,torf,14,.252,.336,.519,.855,.295,.356,.485,.841,.311,.392,.639,1.031,.199,.276,.343,.619,.255,.327,.479,.806,.288,.325,.467,.792,3.68,-1,-1,-1,-1,5.80,-1,-1,-1,-1,0
2019/03/30,MIN,CLE,34,fromlf,17,.000,.000,.000,.000,.000,.250,.000,.250,.250,.250,.250,.500,.250,.250,.500,.750,.000,.000,.000,.000,.000,.000,.000,.000,3.51,-1,-1,-1,-1,4.48,-1,-1,-1,-1,0
2019/03/31,MIN,CLE,34,tolf,7,.000,.000,.000,.000,.167,.375,.500,.875,.167,.375,.167,.542,.143,.250,.286,.536,.000,.000,.000,.000,.000,.000,.000,.000,4.01,-1,-1,-1,-1,5.29,-1,-1,-1,-1,0
2019/04/13,MIN,DET,37,torf,11,.273,.319,.500,.819,.375,.432,.750,1.182,.316,.480,.579,1.059,.146,.241,.167,.407,.178,.260,.244,.504,.261,.370,.283,.653,2.00,0.7777777777777778,3.088888888888889,0.3125,0.0625,2.25,1.1666666666666667,4.616666666666667,0.25,0.10416666666666667,0
2019/04/14,MIN,DET,40,fromcf,9,.277,.333,.489,.823,.372,.417,.721,1.138,.286,.483,.524,1.007,.184,.259,.245,.504,.260,.362,.280,.642,.182,.255,.477,.732,2.18,0.7425742574257426,3.001980198019802,0.27631578947368424,0.05263157894736842,2.50,0.809248554913295,4.35606936416185,0.208955223880597,0.04477611940298507,2
2019/04/15,MIN,TOR,54,fromcf,13,.500,.522,1.045,1.567,.383,.423,.702,1.125,.320,.485,.520,1.005,.217,.308,.370,.677,.351,.383,.684,1.068,.193,.270,.421,.691,7.56,2.7027027027027026,3.6054054054054054,0.26666666666666666,0.2,0.92,0.7291666666666667,3.5125,0.2676056338028169,0.07042253521126761,0
2019/04/16,MIN,TOR,66,fromrf,5,.269,.321,.481,.802,.420,.464,.720,1.184,.265,.333,.510,.844,.290,.353,.457,.810,.339,.369,.645,1.014,.230,.299,.475,.774,7.71,2.261904761904762,7.723809523809524,0.1702127659574468,0.10638297872340426,1.69,1.375,3.2625,0.22535211267605634,0.1267605633802817,0
2019/04/17,MIN,TOR,44,ltor,13,.259,.333,.463,.796,.415,.467,.755,1.221,.276,.447,.448,.896,.600,.600,.800,1.400,.328,.357,.612,.969,.222,.319,.460,.780,6.35,1.25,4.161538461538462,0.32608695652173914,0.1956521739130435,4.61,1.2878787878787878,5.321212121212121,0.3157894736842105,0.07017543859649122,3
2019/04/18,MIN,TOR,46,ltor,11,.259,.328,.466,.794,.429,.484,.768,1.252,.313,.476,.500,.976,.500,.556,.625,1.181,.338,.365,.606,.970,.224,.316,.448,.764,3.00,1.0,3.3333333333333335,0.2631578947368421,0.03508771929824561,1.50,1.0,2.5333333333333337,0.09090909090909091,0.0,1
2019/04/26,MIN,BAL,57,ltor,12,.236,.321,.403,.724,.366,.424,.695,1.119,.279,.405,.492,.897,.274,.342,.425,.766,.337,.391,.606,.997,.301,.356,.538,.894,5.31,1.8556701030927836,4.437113402061856,0.20212765957446807,0.1276595744680851,11.88,2.162162162162162,10.767567567567568,0.15,0.025,3
2019/04/27,MIN,BAL,45,fromlf,7,.250,.329,.447,.777,.349,.406,.663,1.069,.308,.423,.600,1.023,.282,.352,.427,.780,.349,.400,.615,1.015,.290,.343,.527,.870,2.97,0.9567901234567902,4.496296296296297,0.25384615384615383,0.06153846153846154,8.59,1.9014084507042255,10.030985915492959,0.08571428571428572,0.08571428571428572,0
2019/04/28,MIN,BAL,54,tolf,12,.263,.333,.525,.858,.341,.396,.637,1.033,.314,.422,.600,1.022,.272,.341,.412,.754,.188,.188,.375,.563,.278,.330,.505,.835,6.10,1.5897435897435896,4.584615384615384,0.1956521739130435,0.08695652173913043,6.56,1.5625,6.548214285714286,0.24528301886792453,0.09433962264150944,1
2019/04/29,MIN,HOU,54,ltor,7,.274,.340,.571,.912,.337,.390,.632,1.022,.255,.305,.643,.948,.257,.342,.533,.875,.281,.411,.472,.883,.312,.361,.505,.866,4.37,1.346153846153846,3.825,0.24468085106382978,0.10638297872340426,2.61,0.8947368421052632,3.778947368421053,0.304635761589404,0.059602649006622516,0
2019/04/30,MIN,HOU,45,tocf,14,.264,.337,.552,.888,.327,.385,.612,.998,.307,.409,.587,.996,.268,.357,.536,.892,.248,.331,.514,.844,.275,.414,.462,.875,5.63,1.4163090128755367,4.358798283261803,0.20202020202020202,0.050505050505050504,4.71,1.1357340720221607,3.366204986149585,0.3624161073825503,0.08053691275167785,0
2019/05/01,MIN,HOU,46,ltor,8,.278,.353,.567,.920,.320,.389,.600,.989,.295,.396,.564,.960,.274,.363,.564,.927,.248,.328,.513,.841,.271,.410,.479,.889,4.44,1.6535433070866143,3.9480314960629923,0.19491525423728814,0.1016949152542373,4.78,1.0862619808306708,4.477955271565495,0.2824427480916031,0.07633587786259542,0
