date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/03/28,NYA,BAL,48,rtol,12,.251,.325,.503,.829,.272,.381,.540,.921,.288,.403,.492,.894,.094,.181,.156,.337,.241,.297,.412,.708,.274,.339,.453,.792,4.45,-1,-1,-1,-1,4.68,-1,-1,-1,-1,3
2019/03/30,NYA,BAL,61,ltor,12,.000,.200,.000,.200,.667,.800,.667,1.467,.333,.600,.333,.933,.500,.500,.500,1.000,.333,.333,.333,.667,.750,.750,1.000,1.750,3.82,-1,-1,-1,-1,0.00,-1,-1,-1,-1,0
2019/03/31,NYA,BAL,47,fromrf,18,.000,.100,.000,.100,.429,.600,.429,1.029,.333,.600,.333,.933,.222,.222,.222,.444,.429,.429,.429,.857,.500,.500,.625,1.125,4.91,-1,-1,-1,-1,4.79,-1,-1,-1,-1,3
2019/04/01,NYA,DET,45,tolf,13,.077,.200,.077,.277,.333,.467,.333,.800,.300,.500,.600,1.100,.091,.231,.091,.322,.294,.333,.471,.804,.133,.235,.133,.369,4.03,-1,-1,-1,-1,6.11,-1,-1,-1,-1,0
2019/04/02,NYA,DET,45,torf,12,.176,.263,.353,.616,.333,.474,.400,.874,.231,.444,.462,.906,.067,.176,.067,.243,.263,.364,.421,.785,.118,.286,.118,.403,1.59,1.1538461538461537,1.2769230769230773,0.22727272727272727,0.0,0.00,0.14285714285714285,2.0571428571428574,0.18181818181818182,0.0,0
2019/04/03,NYA,DET,64,tocf,27,.500,.625,.583,1.208,.333,.478,.389,.867,.188,.409,.375,.784,.100,.182,.100,.282,.292,.370,.417,.787,.143,.280,.143,.423,4.55,-1,-1,-1,-1,5.40,1.2,-0.19999999999999973,0.47619047619047616,0.047619047619047616,0
2019/04/12,NYA,CHA,61,tolf,14,.196,.302,.370,.671,.289,.429,.511,.940,.196,.327,.457,.784,.325,.357,.375,.732,.514,.526,.730,1.256,.196,.245,.435,.680,6.48,1.6049382716049383,7.150617283950618,0.21621621621621623,0.08108108108108109,5.73,1.3592233009708736,3.588349514563107,0.26666666666666666,0.1111111111111111,3
2019/04/13,NYA,CHA,69,rtol,8,.200,.298,.420,.718,.277,.417,.489,.906,.439,.489,.561,1.050,.341,.370,.432,.801,.488,.500,.683,1.183,.204,.264,.429,.693,4.95,-1,-1,-1,-1,7.71,1.6483516483516485,2.540659340659341,0.13953488372093023,0.046511627906976744,0
2019/04/14,NYA,CHA,66,tolf,11,.432,.490,.545,1.036,.275,.406,.529,.936,.296,.356,.537,.893,.313,.340,.396,.736,.296,.333,.556,.889,.192,.250,.404,.654,1.47,1.0919540229885059,2.567816091954023,0.2112676056338028,0.028169014084507043,3.38,1.3071895424836601,1.631372549019608,0.3287671232876712,0.0958904109589041,1
2019/04/16,NYA,BOS,63,fromrf,12,.396,.455,.500,.955,.278,.412,.519,.930,.204,.328,.444,.773,.222,.324,.413,.737,.304,.403,.500,.903,.344,.417,.563,.979,6.00,1.8181818181818181,4.5286713286713285,0.2835820895522388,0.08955223880597014,9.00,1.5384615384615385,7.353846153846154,0.13114754098360656,0.06557377049180328,0
2019/04/17,NYA,BOS,56,rtol,12,.200,.304,.400,.704,.293,.425,.517,.942,.207,.324,.431,.755,.212,.321,.394,.714,.300,.394,.500,.894,.338,.408,.544,.952,8.76,1.9834710743801653,6.588429752066116,0.21666666666666667,0.08333333333333333,8.40,1.8666666666666667,9.266666666666666,0.14285714285714285,0.14285714285714285,1
2019/04/18,NYA,KCA,59,fromrf,10,.203,.301,.438,.739,.274,.403,.484,.886,.213,.333,.443,.776,.320,.350,.493,.843,.254,.289,.507,.797,.339,.427,.581,1.007,1.38,0.7692307692307693,2.661538461538462,0.28,0.14,5.29,1.2352941176470589,4.08235294117647,0.30434782608695654,0.08695652173913043,2
2019/04/19,NYA,KCA,66,fromrf,19,.191,.286,.412,.697,.273,.395,.470,.865,.219,.342,.438,.780,.313,.341,.488,.829,.240,.316,.240,.556,.270,.296,.527,.823,0.00,0.2,2.0,0.1875,0.0,6.14,1.5962441314553992,3.6225352112676057,0.24489795918367346,0.061224489795918366,0
2019/04/20,NYA,KCA,60,rtol,12,.313,.361,.391,.752,.275,.400,.478,.878,.227,.363,.439,.802,.294,.322,.459,.781,.269,.294,.513,.807,.329,.417,.571,.988,3.22,1.355140186915888,3.1532710280373832,0.23076923076923078,0.054945054945054944,9.00,1.75,4.075,0.1,0.075,1
2019/04/21,NYA,KCA,59,rtol,11,.309,.364,.426,.790,.225,.353,.423,.775,.200,.309,.457,.766,.292,.319,.483,.802,.259,.292,.494,.786,.311,.398,.541,.938,3.91,1.3004484304932735,3.2448430493273546,0.3263157894736842,0.07368421052631578,4.30,1.3043478260869565,5.6347826086956525,0.23711340206185566,0.08247422680412371,1
2019/05/03,NYA,MIN,51,fromlf,6,.220,.320,.413,.733,.277,.396,.545,.940,.234,.310,.641,.950,.333,.396,.729,1.125,.336,.405,.636,1.040,.302,.394,.570,.964,3.38,1.1940298507462686,2.3044776119402988,0.3617021276595745,0.07092198581560284,4.88,1.2830188679245282,4.369811320754717,0.2033898305084746,0.06779661016949153,1
2019/05/04,NYA,MIN,61,rtol,8,.310,.363,.430,.793,.278,.399,.539,.938,.265,.333,.735,1.069,.308,.368,.673,1.041,.327,.400,.618,1.018,.303,.398,.596,.994,4.68,1.2732919254658384,5.280745341614907,0.17647058823529413,0.058823529411764705,3.34,1.1870503597122302,3.2719424460431656,0.25,0.09166666666666666,0
2019/05/05,NYA,MIN,51,fromlf,19,.317,.368,.433,.800,.269,.387,.521,.908,.271,.354,.771,1.126,.257,.328,.514,.842,.313,.385,.591,.976,.298,.389,.606,.995,2.56,0.8653846153846154,2.8474358974358975,0.25806451612903225,0.07258064516129033,6.21,1.5194346289752652,5.143462897526502,0.1746031746031746,0.047619047619047616,0
2019/05/06,NYA,SEA,61,rtol,11,.315,.364,.426,.790,.260,.377,.504,.881,.274,.361,.753,1.115,.246,.333,.522,.855,.282,.346,.540,.886,.241,.373,.509,.882,2.66,1.044776119402985,5.090547263681592,0.1951219512195122,0.07317073170731707,4.31,1.2861736334405145,4.196784565916399,0.21481481481481482,0.02962962962962963,2
2019/05/07,NYA,SEA,64,tolf,13,.321,.368,.438,.806,.260,.373,.520,.893,.260,.345,.714,1.059,.297,.321,.406,.727,.238,.323,.503,.827,.279,.432,.663,1.095,3.92,1.3563829787234043,4.317021276595745,0.225,0.075,3.28,1.3626373626373627,3.551648351648352,0.18090452261306533,0.06030150753768844,0
2019/05/08,NYA,SEA,64,rtol,10,.330,.385,.443,.828,.254,.370,.508,.878,.303,.321,.579,.900,.301,.324,.406,.730,.236,.320,.493,.813,.275,.422,.637,1.060,2.70,1.3,4.300000000000001,0.23809523809523808,0.14285714285714285,3.98,1.1691542288557213,3.74726368159204,0.21212121212121213,0.05454545454545454,1
2019/05/09,NYA,SEA,56,fromrf,11,.339,.396,.449,.845,.247,.330,.679,1.009,.218,.322,.435,.757,.304,.327,.406,.732,.243,.328,.513,.841,.248,.381,.544,.925,4.93,1.3101604278074865,5.686631016042781,0.16770186335403728,0.055900621118012424,4.91,1.5211970074812966,5.943142144638404,0.18333333333333332,0.05,0
