date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/03/28,PHI,ATL,58,ltor,5,.256,.378,.457,.834,.280,.323,.420,.743,.260,.372,.510,.882,.246,.343,.397,.740,.259,.379,.521,.900,.295,.389,.549,.938,3.87,-1,-1,-1,-1,3.81,-1,-1,-1,-1,1
2019/03/30,PHI,ATL,76,tocf,17,.250,.400,1.000,1.400,.500,.500,.500,1.000,.000,.250,.000,.250,.000,.000,.000,.000,.000,.250,.000,.250,.333,.500,.333,.833,5.38,-1,-1,-1,-1,7.20,-1,-1,-1,-1,1
2019/03/31,PHI,ATL,52,ltor,17,.125,.222,.500,.722,.375,.375,.500,.875,.167,.375,.667,1.042,.125,.222,.375,.597,.000,.125,.000,.125,.625,.667,.875,1.542,4.64,-1,-1,-1,-1,8.69,-1,-1,-1,-1,0
2019/04/05,PHI,MIN,43,rtol,9,.250,.375,.600,.975,.364,.391,.455,.846,.500,.652,1.188,1.840,.200,.304,.200,.504,.286,.375,.476,.851,.150,.261,.200,.461,7.71,2.142857142857143,5.104761904761904,0.18181818181818182,0.045454545454545456,1.50,0.5,2.7,0.5238095238095238,0.09523809523809523,5
2019/04/06,PHI,MIN,62,ltor,4,.261,.414,.565,.979,.370,.393,.481,.874,.400,.571,.950,1.521,.200,.286,.320,.606,.600,.583,.900,1.483,.423,.483,.808,1.290,1.50,1.5,4.7,0.23076923076923078,0.23076923076923078,0.00,0.5,1.4500000000000002,0.4166666666666667,0.08333333333333333,0
2019/04/07,PHI,MIN,71,tocf,6,.269,.424,.577,1.001,.355,.375,.452,.827,.417,.563,.917,1.479,.233,.303,.433,.736,.300,.333,.400,.733,.192,.276,.346,.622,0.00,0.8,0.20000000000000018,0.47368421052631576,0.05263157894736842,1.84,0.7042253521126761,2.3549295774647887,0.2641509433962264,0.018867924528301886,1
2019/04/08,PHI,WAS,78,ltor,17,.241,.405,.517,.923,.324,.361,.412,.773,.385,.556,.846,1.402,.273,.385,.303,.688,.080,.115,.080,.195,.433,.528,.967,1.494,0.00,0.0,-0.7999999999999998,0.6666666666666666,0.0,9.00,2.0,4.7,0.15,0.2,0
2019/04/09,PHI,WAS,69,tocf,13,.212,.366,.455,.820,.342,.375,.421,.796,.345,.525,.759,1.284,.243,.349,.270,.619,.103,.133,.207,.340,.412,.500,.912,1.412,7.00,1.5555555555555556,7.644444444444445,0.2564102564102564,0.1794871794871795,2.84,1.0655737704918034,1.1508196721311474,0.3269230769230769,0.057692307692307696,1
2019/04/10,PHI,WAS,61,fromcf,9,.216,.370,.432,.802,.333,.378,.452,.830,.333,.511,.788,1.299,.233,.327,.279,.606,.121,.171,.212,.384,.421,.489,.895,1.384,6.52,2.065217391304348,6.352173913043479,0.1702127659574468,0.0425531914893617,9.00,1.5,9.7,0.0,0.0,3
2019/04/15,PHI,NYN,50,ltor,24,.255,.415,.529,.945,.317,.369,.467,.836,.280,.438,.600,1.038,.235,.350,.412,.762,.345,.419,.800,1.219,.183,.234,.317,.551,6.46,1.456953642384106,7.372185430463577,0.2,0.12307692307692308,4.74,0.7894736842105263,2.936842105263158,0.2777777777777778,0.027777777777777776,0
2019/04/16,PHI,NYN,63,ltor,13,.273,.437,.545,.982,.323,.380,.462,.842,.268,.414,.554,.968,.241,.379,.463,.842,.339,.418,.763,1.181,.185,.243,.323,.566,9.45,2.338709677419355,5.296774193548387,0.2028985507246377,0.07246376811594203,1.65,1.0559006211180124,3.3863354037267084,0.2923076923076923,0.07692307692307693,10
2019/04/17,PHI,NYN,62,tocf,10,.283,.434,.550,.984,.524,.583,.857,1.440,.276,.432,.552,.984,.418,.484,.545,1.029,.328,.423,.738,1.160,.200,.253,.343,.596,2.25,1.15,4.800000000000001,0.18518518518518517,0.12345679012345678,7.47,1.7763157894736843,3.9894736842105267,0.2328767123287671,0.1506849315068493,0
2019/04/25,PHI,MIA,64,tolf,6,.250,.373,.457,.829,.282,.351,.435,.786,.261,.398,.511,.910,.164,.256,.343,.600,.320,.352,.440,.792,.244,.343,.360,.704,6.84,1.728395061728395,6.245267489711934,0.24561403508771928,0.10526315789473684,2.35,0.8695652173913043,2.591304347826087,0.3333333333333333,0.06896551724137931,0
2019/04/26,PHI,MIA,59,torf,16,.250,.368,.458,.827,.270,.337,.416,.752,.253,.393,.495,.887,.159,.259,.333,.593,.309,.339,.418,.757,.242,.337,.352,.688,3.60,1.4,1.6,0.3333333333333333,0.09523809523809523,5.74,1.717557251908397,3.887022900763359,0.17073170731707318,0.04878048780487805,1
