date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/03/28,SDN,SFN,68,ltor,12,.217,.278,.368,.646,.239,.321,.418,.739,.256,.334,.462,.796,.234,.278,.341,.619,.234,.339,.403,.742,.254,.325,.437,.762,4.45,-1,-1,-1,-1,3.90,-1,-1,-1,-1,0
2019/03/29,SDN,SFN,62,ltor,12,.250,.250,.500,.750,1.000,1.000,2.500,3.500,.000,.000,.000,.000,.000,.000,.000,.000,.250,.250,.250,.500,.000,.000,.000,.000,4.18,-1,-1,-1,-1,6.08,-1,-1,-1,-1,0
2019/03/30,SDN,SFN,70,ltor,13,.286,.375,.857,1.232,.000,.143,.000,.143,.286,.286,.286,.571,.143,.250,.286,.536,.200,.200,.200,.400,.429,.500,.857,1.357,6.79,-1,-1,-1,-1,5.64,-1,-1,-1,-1,0
2019/03/31,SDN,SFN,81,ltor,7,1.000,1.000,2.000,3.000,.300,.364,.400,.764,.273,.273,.273,.545,.273,.385,.364,.748,.250,.250,.250,.500,.300,.300,.500,.800,3.33,-1,-1,-1,-1,3.52,-1,-1,-1,-1,0
2019/04/01,SDN,ARI,65,ltor,8,.273,.333,.636,.970,.308,.400,.385,.785,.200,.200,.200,.400,.368,.368,.737,1.105,.133,.133,.200,.333,.200,.200,.300,.500,4.71,-1,-1,-1,-1,4.42,-1,-1,-1,-1,2
2019/04/02,SDN,ARI,63,ltor,8,.231,.333,.538,.872,.353,.421,.471,.892,.222,.263,.222,.485,.375,.375,.792,1.167,.150,.150,.200,.350,.200,.200,.333,.533,0.00,0.8333333333333334,2.7,0.14285714285714285,0.047619047619047616,17.18,2.8125,19.45,0.15,0.1,2
2019/04/03,SDN,ARI,66,ltor,7,.167,.250,.389,.639,.421,.476,.789,1.266,.217,.250,.217,.467,.379,.379,.759,1.138,.296,.286,.481,.767,.448,.448,.724,1.172,0.00,0.9803921568627452,1.6313725490196078,0.3333333333333333,0.09523809523809523,5.40,1.6,5.2,0.391304347826087,0.21739130434782608,0
2019/04/15,SDN,COL,60,ltor,10,.333,.347,.563,.909,.220,.306,.488,.794,.246,.348,.474,.822,.234,.286,.313,.598,.170,.184,.234,.418,.254,.324,.365,.689,4.40,1.3475177304964538,1.8524822695035463,0.27419354838709675,0.08064516129032258,6.71,-1,-1,-1,-1,0
2019/04/16,SDN,COL,62,ltor,10,.308,.321,.519,.840,.222,.302,.533,.835,.267,.371,.483,.855,.221,.270,.294,.564,.176,.189,.235,.424,.254,.320,.403,.723,1.69,0.625,3.8875,0.2033898305084746,0.01694915254237288,4.19,1.3043478260869565,4.45,0.2564102564102564,0.07692307692307693,2
2019/04/18,SDN,CIN,64,ltor,11,.281,.347,.578,.925,.194,.270,.284,.554,.254,.365,.460,.825,.228,.323,.386,.709,.250,.371,.481,.852,.176,.250,.412,.662,1.29,0.9022556390977444,2.1473684210526316,0.3018867924528302,0.11320754716981132,4.30,1.7605633802816902,3.4816901408450707,0.22058823529411764,0.08823529411764706,1
