date,home_team,away_team,temperature,wind_direction,wind_speed,first_home_ba,first_home_obp,first_home_slg,first_home_ops,second_home_ba,second_home_obp,second_home_slg,second_home_ops,third_home_ba,third_home_obp,third_home_slg,third_home_ops,first_away_ba,first_away_obp,first_away_slg,first_away_ops,second_away_ba,second_away_obp,second_away_slg,second_away_ops,third_away_ba,third_away_obp,third_away_slg,third_away_ops,home_ERA,home_WHIP,home_FIP,home_KOP,home_BBP,away_ERA,away_WHIP,away_FIP,away_KOP,away_BBP,first_inning_total
2019/03/28,WAS,NYN,56,rtol,3,.279,.365,.428,.792,.298,.353,.497,.850,.319,.412,.598,1.010,.221,.375,.407,.783,.260,.358,.583,.941,.256,.307,.428,.736,2.92,-1,-1,-1,-1,2.43,-1,-1,-1,-1,1
2019/03/30,WAS,NYN,69,tolf,11,.333,.500,.333,.833,.500,.500,.500,1.000,.000,.000,.000,.000,.000,.250,.000,.250,.250,.250,.250,.500,.500,.500,1.250,1.750,3.32,-1,-1,-1,-1,4.28,-1,-1,-1,-1,4
2019/03/31,WAS,NYN,55,fromlf,16,.143,.333,.143,.476,.375,.444,.500,.944,.250,.333,.375,.708,.000,.222,.000,.222,.500,.556,.750,1.306,.222,.222,.556,.778,3.25,-1,-1,-1,-1,3.96,-1,-1,-1,-1,0
2019/04/02,WAS,PHI,45,fromcf,8,.333,.429,.333,.762,.385,.429,.923,1.352,.250,.308,.333,.641,.182,.357,.727,1.084,.250,.308,.333,.641,.333,.538,1.111,1.650,2.35,0.6944444444444444,2.9222222222222225,0.42857142857142855,0.10714285714285714,4.13,-1,-1,-1,-1,0
2019/04/03,WAS,PHI,62,torf,16,.313,.389,.313,.701,.077,.143,.077,.220,.400,.471,.667,1.137,.267,.421,.667,1.088,.353,.389,.471,.859,.429,.556,1.214,1.770,3.85,-1,-1,-1,-1,1.50,1.1666666666666667,3.0333333333333337,0.34782608695652173,0.21739130434782608,5
2019/04/12,WAS,PIT,67,rtol,8,.277,.370,.319,.690,.179,.220,.256,.476,.429,.490,.881,1.371,.310,.396,.452,.848,.227,.277,.432,.708,.121,.216,.273,.489,3.75,1.3333333333333333,5.033333333333333,0.2549019607843137,0.058823529411764705,2.25,0.9166666666666666,3.0333333333333337,0.1956521739130435,0.021739130434782608,0
2019/04/13,WAS,PIT,72,tolf,9,.250,.339,.288,.627,.625,.636,1.250,1.886,.426,.481,.957,1.439,.304,.385,.435,.819,.245,.288,.429,.717,.237,.326,.316,.641,6.52,1.847826086956522,6.026086956521739,0.2,0.13333333333333333,2.45,1.0909090909090908,4.472727272727273,0.3333333333333333,0.1111111111111111,0
2019/04/14,WAS,PIT,73,tolf,10,.286,.365,.375,.740,.600,.667,1.400,2.067,.412,.466,.922,1.387,.275,.351,.392,.743,.226,.268,.396,.664,.214,.298,.286,.584,3.32,1.1475409836065575,2.5442622950819676,0.358974358974359,0.05128205128205128,3.00,1.0666666666666667,4.2,0.2,0.06153846153846154,3
2019/04/16,WAS,SFN,69,tolf,7,.300,.382,.383,.766,.159,.213,.227,.440,.400,.460,.873,1.333,.224,.250,.328,.578,.209,.314,.256,.570,.213,.288,.298,.586,5.40,1.4197530864197532,3.632098765432099,0.2702702702702703,0.0945945945945946,4.15,0.935672514619883,4.428070175438597,0.17391304347826086,0.014492753623188406,0
2019/04/17,WAS,SFN,65,fromrf,13,.308,.384,.400,.784,.397,.463,.845,1.308,.236,.364,.418,.782,.236,.260,.375,.635,.208,.304,.250,.554,.192,.263,.269,.532,2.25,1.25,4.825,0.1875,0.125,1.62,1.1111111111111112,2.706172839506173,0.19696969696969696,0.09090909090909091,3
2019/04/18,WAS,SFN,70,ltor,6,.278,.339,.556,.895,.387,.458,.806,1.265,.254,.380,.475,.855,.247,.268,.429,.697,.308,.438,.385,.822,.185,.200,.400,.600,2.84,1.105263157894737,4.042105263157895,0.3157894736842105,0.05263157894736842,3.86,1.5,4.771428571428571,0.26229508196721313,0.08196721311475409,1
2019/04/26,WAS,SDN,63,torf,10,.313,.377,.406,.784,.286,.326,.500,.826,.371,.451,.771,1.223,.299,.361,.586,.947,.286,.326,.512,.838,.244,.337,.407,.744,4.45,1.2738853503184715,2.3082802547770704,0.32592592592592595,0.037037037037037035,3.05,1.188118811881188,4.091089108910891,0.15294117647058825,0.058823529411764705,0
2019/04/27,WAS,SDN,68,tocf,13,.310,.373,.400,.773,.273,.312,.477,.789,.343,.435,.686,1.120,.286,.347,.560,.907,.284,.323,.511,.834,.244,.333,.400,.733,4.11,1.0927152317880795,3.6635761589403977,0.312,0.072,4.67,1.4074074074074074,4.2,0.2,0.06086956521739131,0
2019/04/28,WAS,SDN,70,tocf,6,.261,.306,.457,.763,.173,.287,.347,.634,.250,.378,.467,.846,.284,.349,.547,.896,.222,.318,.333,.652,.245,.336,.394,.730,4.34,1.6483516483516485,5.178021978021978,0.11904761904761904,0.11904761904761904,4.33,1.3307984790874525,3.0098859315589355,0.25217391304347825,0.0782608695652174,1
2019/04/29,WAS,SLN,59,tolf,10,.295,.362,.381,.743,.265,.308,.480,.787,.255,.376,.490,.866,.219,.339,.385,.725,.274,.369,.557,.925,.342,.392,.604,.995,2.48,0.9316770186335402,3.4484472049689443,0.30708661417322836,0.047244094488188976,4.64,1.6666666666666667,6.092156862745099,0.25,0.14583333333333334,0
2019/04/30,WAS,SLN,78,tolf,8,.291,.355,.373,.728,.255,.296,.461,.757,.248,.372,.475,.847,.210,.333,.370,.703,.270,.362,.541,.903,.342,.400,.605,1.005,6.00,1.8250950570342208,5.481368821292776,0.15384615384615385,0.12307692307692308,3.96,1.36,4.32,0.205607476635514,0.09345794392523364,0
2019/05/01,WAS,SLN,68,fromcf,6,.296,.357,.400,.757,.255,.301,.481,.782,.314,.397,.608,1.005,.202,.328,.356,.684,.259,.348,.517,.866,.342,.403,.607,1.010,4.12,1.1458333333333335,2.2885416666666667,0.33962264150943394,0.031446540880503145,5.29,1.2352941176470589,6.1117647058823525,0.1310344827586207,0.05517241379310345,3
2019/05/02,WAS,SLN,68,fromlf,4,.283,.344,.383,.727,.264,.308,.482,.790,.345,.418,.618,1.036,.263,.393,.453,.846,.100,.182,.100,.282,.202,.323,.349,.672,3.82,1.021505376344086,3.5225806451612907,0.31788079470198677,0.06622516556291391,5.63,2.1004566210045663,7.994520547945206,0.16379310344827586,0.11206896551724138,0
2019/05/14,WAS,NYN,59,torf,11,.280,.339,.391,.730,.250,.301,.438,.739,.243,.364,.450,.814,.360,.440,.496,.937,.278,.316,.424,.739,.261,.315,.399,.714,5.52,1.6501650165016504,5.774257425742574,0.18181818181818182,0.09090909090909091,5.14,1.3265306122448979,3.648979591836735,0.2621359223300971,0.05825242718446602,4
